97 293 3	293	0	1 
293 798 3	293	0	0 
1533 569 3	569	0	1 
121 598 3	598	0	1 
97 1179 3	1179	0	1 
2111 569 3	569	1	1 
704 4479 3	4479	0	1 
2021 569 3	569	0	1 
97 293 3	293	0	1 
1885 2311 3	2311	2	1 
646 181 3	181	0	1 
4344 1555 36	4344	0	0 
1846 2615 36	2615	0	1 
318 2 3057 36	3057	0	2 
907 30 3699 3	907	2	0 
181 30 764 3	181	0	0 
79 4394 4 293	4394	1	1 
79 4394 4 293	293	1	3 
72 122 1179 3	1179	1	2 
181 9 743 3	181	1	0 
232 121 181 36	181	0	2 
1872 2725 293 3	2725 293	0	1 2 
55 2171 2300 36	2300	0	2 
2870 87 1170 3	2870	0	0 
140 2 293 3	293	0	2 
293 9 715 3	293	0	0 
1970 9 2051 3	1970	0	0 
318 2 4398 3241 3	4398 3241	0	2 3 
318 2 3778 2167 36	3778 2167	0	2 3 
2 293 9 121 3	293	0	1 
2 181 9 2106 3	181	2	1 
598 9 107 3809 3	598	0	0 
928 9 646 166 3	928	0	0 
2 181 30 3068 3	181	0	1 
569 24 107 97 3	569	0	0 
2 293 30 3673 3	293	1	1 
4 145 334 2300 3	2300	0	3 
2 293 30 121 3	293	0	1 
2 3439 24 1733 3	3439	0	1 
2 293 732 1112 3	293 732	0	1 2 
2102 97 1136 3415 3	1136 3415	0	2 3 
2 569 87 1170 3	569	0	1 
2 2615 30 2106 36	2615	2	1 
181 9 197 2660 3	181	0	0 
2 2712 24 2416 3	2712	0	1 
2 293 9 656 1323	293	0	1 
2 1653 9 121 524	1653	0	1 
2 1827 9 656 36	1827	0	1 
89 24 232 1063 3	89	0	0 
1672 913 1014 166 3	913 1014	0	1 2 
33 709 2 569 3	569	2	3 
97 1 646 181 3	181	0	3 
2 181 30 796 3	181	1	1 
2 293 30 1872 3	293	0	1 
318 2 411 2427 524	411 2427	0	2 3 
2 293 30 97 3	293	0	1 
3964 24 107 1063 3	3964	0	0 
181 30 1491 3136 3	181	0	0 
145 637 4299 624 3	4299	0	2 
1762 125 108 1993 3	1762	2	0 
1762 125 108 1993 3	1993	2	3 
12 923 2 580 3	580	0	3 
1555 2616 2224 166 3	2616 2224	0	1 2 
29 2 3067 1104 3	3067 1104	0	2 3 
2 293 30 1944 3	293	0	1 
181 30 107 1063 3	181	0	0 
2 293 9 1555 3	293	0	1 
2 221 107 1533 3	221	0	1 
2 181 9 1170 3	181	0	1 
2 3426 30 725 3	3426	1	1 
57 30 72 3143 3	3143	2	3 
129 3445 2207 294 36	3445 2207	0	1 2 
2 1625 30 121 3	1625	0	1 
116 496 11 122 913 3	913	0	4 
2 913 267 9 715 3	913 267	0	1 2 
12 1183 2 1298 1014 36	1298 1014	0	3 4 
33 1843 20 2 293 3	293	2	4 
3143 19 2218 4 1938 3	3143	0	0 
2 1625 103 9 1555 3	1625	0	1 
2133 160 5 2 1813 3	1813	0	4 
2 293 30 3014 3001 3	293	2	1 
97 1243 309 7 618 3	309 7 618	2	2 3 4 
2 1625 9 97 298 3	1625	0	1 
62 293 30 121 166 36	293	0	1 
135 48 2315 1993 166 36	1993	0	3 
2 598 9 72 2545 3	598	0	1 
1302 5 2 4084 4171 3	4084 4171	0	3 4 
107 97 3201 26 114 3	3201	0	2 
57 24 79 89 1003 36	1003	2	4 
2 293 92 9 2900 3	293	2	1 
1625 103 9 2102 97 3	1625	0	0 
2 569 24 2711 457 3	569	0	1 
129 3387 293 8 1060 36	3387 293	0	1 2 
928 181 9 121 166 3	928 181	0	0 1 
2 3253 87 121 737 3	3253	0	1 
1993 25 1239 2231 537 3	1993	2	0 
22 204 9 1840 1470 3	204	2	1 
153 42 1357 304 2405 3	1357 304	2	2 3 
293 30 743 37 2258 3	293	0	0 
1625 30 7 173 3526 3	1625	2	0 
181 30 2317 4 3136 3	181	0	0 
2584 293 1 3109 181 3	293	2	1 
2584 293 1 3109 181 3	181	2	4 
121 1625 10 1268 204 3	1625	0	1 
129 1627 9 4422 2693 3	4422 2693	0	3 4 
129 1627 9 4422 2693 3	1627	0	1 
2 293 30 1087 656 387	293	0	1 
2 293 30 97 166 3	293	0	1 
107 1421 4 715 2700 36	2700	0	4 
121 181 1 121 293 3	181	0	1 
121 181 1 121 293 3	293	0	4 
337 718 68 10 69 36	718 68	0	1 2 
2 293 57 24 4473 3	293	0	1 
17 21 67 3482 1625 3	1625	1	4 
2 293 30 1087 1941 36	293	2	1 
2 1991 293 9 97 3	1991 293	0	1 2 
889 33 709 2 221 36	221	2	4 
