711 337 36	337	0	1 
859 1434 36	1434	0	1 
2764 351 3	351	2	1 
849 3105 3	3105	0	1 
17 1184 1594 3	1184	0	1 
1939 20 3344 3	3344	1	2 
2750 6 1864 34	1864	1	2 
121 943 160 3	943 160	0	1 2 
906 9 3317 3	906	0	0 
493 20 3141 60	3141	0	2 
910 6 3183 351 3	3183 351	0	2 3 
14 198 9 1294 3	198	1	1 
17 540 147 114 3	540	0	1 
287 11 107 2057 3	287	0	0 
1767 9 1611 383 3	1767	0	0 
1767 9 1611 383 3	383	0	3 
12 140 2 1767 3	1767	0	3 
17 3103 172 894 3	3103	2	1 
1364 74 1014 115 9 357 3	115	0	3 
106 13 2033 730 275	730 275	2	3 4 
1184 1511 4 820 3	1184	0	0 
2 1434 24 121 3	1434	0	1 
2 351 9 711 3	351	0	1 
1620 9 7 2358 3	1620	2	0 
17 67 540 3091 36	540	0	2 
2 575 9 859 3	575	0	1 
67 7 246 789 36	789	2	3 
33 357 5 1181 3	1181	2	3 
2 850 9 859 3	850	0	1 
2 2697 9 902 36	2697	2	1 
2 770 9 717 3	770	0	1 
3329 11 1764 2165 3	2165	2	3 
2 943 9 3195 3	943	2	1 
699 1 121 1379 36	1379	0	3 
7 2961 1536 1599 36	1599	1	3 
2 1434 24 1778 3	1434	0	1 
131 59 6 1660 36	1660	1	3 
2 1767 9 172 2681 3	1767	2	1 
12 140 2 866 3064 3	866 3064	0	3 4 
183 232 1187 1 310 3	232 1187	2	1 2 
64 2 232 4 1203 3	232	0	2 
64 2 232 4 1203 3	1203	0	4 
2 1767 9 206 2626 3	1767	0	1 
92 10 2 1339 598 3	1339	2	3 
12 1247 2 1830 356 3	1830 356	0	3 4 
346 163 2 529 570 3	346	2	0 
448 996 1939 19 96 3	1939	0	2 
767 770 10 1327 277 3	770	0	1 
720 24 2417 4 813 3	720	0	0 
17 9 107 114 863 3	863	0	4 
168 645 385 6 943 34	943	0	4 
140 2 770 1 613 36	770	0	2 
2 1641 9 107 1595 3	1641	0	1 
1767 119 115 76 2913 3	1767	2	0 
2 943 160 9 121 3	943 160	0	1 2 
96 1460 4 1430 114 3	1460	0	1 
96 1460 4 1430 114 3	1430	0	3 
2 850 9 1010 2033 3	850	2	1 
2 1227 3231 443 114 3	3231	0	2 
78 2 850 9 2034 36	850	0	2 
99 78 413 5 115 36	115	0	4 
2 330 770 9 2067 3	330 770	0	1 2 
2 789 2712 1527 2978 3	789 2712	1	1 2 
943 160 426 48 160 3	943 160	2	0 1 
2 943 9 147 191 3	943	0	1 
33 131 881 1154 1560 3	881 1154	2	2 3 
232 4 1090 9 859 36	232	0	0 
72 2270 18 2 850 3	2270	2	1 
2328 2 943 2513 9 2310 3	943 2513	2	2 3 
17 21 565 9 131 692 3	565	0	2 
121 943 1 770 1 850 3	943	0	1 
121 943 1 770 1 850 3	770	0	3 
121 943 1 770 1 850 3	850	0	5 
1162 9 33 157 10 1596 3	1596	2	5 
17 9 52 135 1149 5 115	115	0	6 
1560 58 699 4 1184 121 36	1560 58	0	0 1 
1560 58 699 4 1184 121 36	1184	0	4 
2119 4 2 789 9 488 36	789	0	3 
44 202 904 59 6 1660 3	1660	2	5 
39 10 156 7 121 232 3	232	0	5 
664 629 18 17 4 450 3	629	0	1 
51 7 2864 848 943 160 3	943 160	1	4 5 
2 943 51 217 871 114 3	943	2	1 
42 1227 92 51 72 943 3	943	2	5 
17 21 849 10 508 1596 3	1596	0	5 
1921 6 3344 4 2245 739 3	739	2	5 
17 78 136 33 29 2172 3	2172	2	5 
12 30 112 17 21 3357 3	3357	2	5 
110 17 2888 2210 25 39 3	2210	2	3 
310 2 2048 2201 1161 1642 3	2201	2	3 
121 914 10 2968 4 3006 3	2968	0	3 
121 914 10 2968 4 3006 3	3006	0	5 
1055 16 141 2 2172 106 3	2172 106	1	4 5 
2 1844 6 115 9 849 3	115	0	3 
78 2 943 9 903 807 3	943	2	2 
492 337 25 7 121 232 36	337	0	1 
492 337 25 7 121 232 36	232	0	5 
12 83 2616 5 419 2205 36	419 2205	0	4 5 
3360 9 96 10 2 232 3	3360	0	0 
3360 9 96 10 2 232 3	232	0	5 
17 9 783 357 5 115 3	115	0	5 
767 838 1460 4 114 1858 3	838 1460	0	1 2 
94 2 789 722 903 59 3	789	2	2 
2 154 1551 118 33 126 3	154 1551	2	1 2 
1744 136 45 589 14 121 3	1744	2	0 
579 14 3489 834 4 2501 2860	834	0	3 
579 14 3489 834 4 2501 2860	2501	0	5 
12 613 64 2 3082 1767 3	3082 1767	0	4 5 
154 383 4 640 10 2968 3	383	0	1 
154 383 4 640 10 2968 3	640	0	3 
